,alpha,deltas,filename,filter,h,l,language,mean,optimization,s,trimmed_mean,variance,experiment,width,height,id
81,,"0    12578994
1      648916
2      634938
3      636492
4      634526
dtype: float64",random2 200x200 (1113699290).bmp,blur,,,asm1,3026773.2,0,,3026773.2,28514073395121.2,random2,200,200,1113699290
82,,"0      636568
1      634337
2    20888573
3      635308
4      634111
dtype: float64",random1 200x200 (87755422).bmp,blur,,,asm1,4685779.4,0,,4685779.4,82040788578096.3,random1,200,200,87755422
83,,"0    644942
1    613955
2    633376
3    611995
4    644365
dtype: float64",random1 200x200 (1760281936).bmp,blur,,,asm1,629726.6,0,,629726.6,255565569.2999878,random1,200,200,1760281936
84,,"0    635817
1    634560
2    650366
3    633158
4    636859
dtype: float64",random1 200x200 (552473416).bmp,blur,,,asm1,638152.0,0,,638152.0,48537092.5,random1,200,200,552473416
85,,"0     633330
1     636071
2    6602311
3    1781727
4     636126
dtype: float64",random1 200x200 (1389867269).bmp,blur,,,asm1,2057913.0,0,,2057913.0,6700095389805.5,random1,200,200,1389867269
86,,"0    636898
1    638018
2    633931
3    643968
4    642359
dtype: float64",random1 200x200 (1714636915).bmp,blur,,,asm1,639034.8,0,,639034.8,16758834.700012207,random1,200,200,1714636915
87,,"0    1178188
1    1170113
2    1171918
3    1172702
4    1217527
dtype: float64",fixed 272x272 (1632621729).bmp,blur,,,asm1,1182089.6,0,,1182089.6,401514807.3000488,fixed,272,272,1632621729
88,,"0     633900
1    1539651
2     644945
3     635634
4     634853
dtype: float64",random1 200x200 (1548348142).bmp,blur,,,asm1,817796.6,0,,817796.6,162855245883.30005,random1,200,200,1548348142
89,,"0    634548
1    660718
2    644951
3    635375
4    634062
dtype: float64",random1 200x200 (1573363368).bmp,blur,,,asm1,641930.8,0,,641930.8,130370688.7000122,random1,200,200,1573363368
90,,"0     784810
1    7283441
2     782524
3     777880
4     776126
dtype: float64",fixed 220x220 (1911759956).bmp,blur,,,asm1,2080956.2,0,,2080956.2,8458089669460.2,fixed,220,220,1911759956
91,,"0    8078695
1     639618
2     632328
3     650006
4     633873
dtype: float64",random1 200x200 (654887343).bmp,blur,,,asm1,2126904.0,0,,2126904.0,11069990610654.5,random1,200,200,654887343
92,,"0    8586286
1     630701
2     637402
3     650125
4     652082
dtype: float64",random2 200x200 (1250718455).bmp,blur,,,asm1,2231319.2,0,,2231319.2,12620579730926.7,random2,200,200,1250718455
93,,"0    639478
1    637301
2    636919
3    634785
4    635439
dtype: float64",random2 200x200 (98768428).bmp,blur,,,asm1,636784.4,0,,636784.4,3337043.799987793,random2,200,200,98768428
94,,"0    632985
1    635631
2    636782
3    632792
4    634102
dtype: float64",random2 200x200 (960449276).bmp,blur,,,asm1,634458.4,0,,634458.4,2962231.299987793,random2,200,200,960449276
95,,"0    633363
1    632734
2    612534
3    642127
4    642982
dtype: float64",random2 200x200 (232899880).bmp,blur,,,asm1,632748.0,0,,632748.0,150421153.5,random2,200,200,232899880
96,,"0    611858
1    633332
2    631504
3    636471
4    645174
dtype: float64",random1 200x200 (1605894428).bmp,blur,,,asm1,631667.8,0,,631667.8,150178184.2000122,random1,200,200,1605894428
97,,"0    6426
1    6789
2    5882
3    5610
4    5947
dtype: float64",fixed 16x16 (1714636915).bmp,blur,,,asm1,6130.8,0,,6130.8,221821.70000000298,fixed,16,16,1714636915
98,,"0      665834
1    11768960
2      637136
3    15668486
4      635646
dtype: float64",random2 200x200 (602713750).bmp,blur,,,asm1,5875212.4,0,,5875212.4,53168148080898.8,random2,200,200,602713750
99,,"0    646077
1    630488
2    645320
3    634529
4    633317
dtype: float64",random2 200x200 (1790746779).bmp,blur,,,asm1,637946.2,0,,637946.2,52303582.70001221,random2,200,200,1790746779
100,,"0      636742
1      638199
2      688057
3      666283
4    16813209
dtype: float64",random2 200x200 (1585298692).bmp,blur,,,asm1,3888498.0,0,,3888498.0,52203001801791.0,random2,200,200,1585298692
101,,"0    633904
1    632563
2    647591
3    680829
4    633360
dtype: float64",random1 200x200 (1176911340).bmp,blur,,,asm1,645649.4,0,,645649.4,425402926.2999878,random1,200,200,1176911340
102,,"0     632902
1     633824
2    5774041
3     630619
4     640180
dtype: float64",random2 200x200 (1556677371).bmp,blur,,,asm1,1662313.2,0,,1662313.2,5283233038837.7,random2,200,200,1556677371
103,,"0    634792
1    641642
2    634923
3    648550
4    632707
dtype: float64",random2 200x200 (88885284).bmp,blur,,,asm1,638522.8,0,,638522.8,42743776.70001221,random2,200,200,88885284
104,,"0    999740
1    646755
2    633516
3    638064
4    640182
dtype: float64",random2 200x200 (1427056614).bmp,blur,,,asm1,711651.4,0,,711651.4,25958676372.80005,random2,200,200,1427056614
105,,"0      461891
1      476110
2      478134
3      480771
4    14209111
dtype: float64",fixed 168x168 (1653377373).bmp,blur,,,asm1,3221203.4,0,,3221203.4,37729463898460.3,fixed,168,168,1653377373
106,,"0    633885
1    632209
2    637527
3    632585
4    657409
dtype: float64",random2 200x200 (1258505823).bmp,blur,,,asm1,638723.0,0,,638723.0,113527624.0,random2,200,200,1258505823
107,,"0    820691
1    636794
2    633638
3    639600
4    700804
dtype: float64",random1 200x200 (1760243555).bmp,blur,,,asm1,686305.4,0,,686305.4,6419081757.800049,random1,200,200,1760243555
108,,"0    7953143
1     637872
2     637402
3     614833
4     634105
dtype: float64",random2 200x200 (13999837).bmp,blur,,,asm1,2095471.0,0,,2095471.0,10722690196536.5,random2,200,200,13999837
109,,"0    689940
1    636605
2    637841
3    639917
4    632316
dtype: float64",random1 200x200 (950390868).bmp,blur,,,asm1,647323.8,0,,647323.8,575262854.7000122,random1,200,200,950390868
110,,"0    49459
1    49593
2    50008
3    49538
4    49532
dtype: float64",fixed 56x56 (1102520059).bmp,blur,,,asm1,49626.0,0,,49626.0,47870.5,fixed,56,56,1102520059
111,,"0    259703
1    261403
2    262047
3    260597
4    259758
dtype: float64",fixed 128x128 (1801979802).bmp,blur,,,asm1,260701.6,0,,260701.6,1050146.8000030518,fixed,128,128,1801979802
