,alpha,filename,filter,h,l,language,mean,optimization,s,trimmed_mean,variance,experiment,width,height,id
149,,random1 200x200 (1967513926).bmp,blur,,,asm2,577759.2,0,,577759.2,65089187.7000122,random1,200,200,1967513926
150,,fixed 324x324 (1477171087).bmp,blur,,,asm2,2510665.6,0,,2510665.6,5036411211707.3,fixed,324,324,1477171087
151,,fixed 280x280 (1433925857).bmp,blur,,,asm2,1114434.2,0,,1114434.2,477309923.199951,fixed,280,280,1433925857
152,,random2 200x200 (532333135).bmp,blur,,,asm2,829189.8,0,,829189.8,309332860553.2,random2,200,200,532333135
153,,random2 200x200 (1991128557).bmp,blur,,,asm2,576611.6,0,,576611.6,166894459.299988,random2,200,200,1991128557
154,,fixed 176x176 (1914544919).bmp,blur,,,asm2,448740.8,0,,448740.8,34126343.7000122,fixed,176,176,1914544919
155,,fixed 68x68 (1365180540).bmp,blur,,,asm2,67547.4,0,,67547.4,36842.3000001907,fixed,68,68,1365180540
156,,random1 200x200 (1726956429).bmp,blur,,,asm2,3358658.4,0,,3358658.4,36457904089503.8,random1,200,200,1726956429
157,,fixed 380x380 (943947739).bmp,blur,,,asm2,2862900.2,0,,2862900.2,1218244357103.2,fixed,380,380,943947739
158,,random1 200x200 (2086206725).bmp,blur,,,asm2,570994.8,0,,570994.8,4631475.70001221,random1,200,200,2086206725
159,,random1 200x200 (1984210012).bmp,blur,,,asm2,571956.8,0,,571956.8,6897840.70001221,random1,200,200,1984210012
160,,random2 200x200 (1960721183).bmp,blur,,,asm2,577426.6,0,,577426.6,209251287.799988,random2,200,200,1960721183
161,,random1 200x200 (1371499336).bmp,blur,,,asm2,604858.6,0,,604858.6,3386026265.79999,random1,200,200,1371499336
162,,fixed 104x104 (861021530).bmp,blur,,,asm2,216183.4,0,,216183.4,19484030945.8,fixed,104,104,861021530
163,,fixed 48x48 (1350490027).bmp,blur,,,asm2,34540,0,,34540,83025.5,fixed,48,48,1350490027
164,,random1 200x200 (1303455736).bmp,blur,,,asm2,575163.2,0,,575163.2,120044945.200012,random1,200,200,1303455736
165,,random2 200x200 (438714404).bmp,blur,,,asm2,570233.4,0,,570233.4,2287385.29998779,random2,200,200,438714404
166,,random2 200x200 (1337225634).bmp,blur,,,asm2,577360.8,0,,577360.8,644624389.700012,random2,200,200,1337225634
167,,fixed 232x232 (42999170).bmp,blur,,,asm2,1229111.6,0,,1229111.6,788575164205.3,fixed,232,232,42999170
168,,random1 200x200 (233665123).bmp,blur,,,asm2,570599,0,,570599,6041168,random1,200,200,233665123
169,,random1 200x200 (502278611).bmp,blur,,,asm2,570251.2,0,,570251.2,624228.700012207,random1,200,200,502278611
170,,fixed 304x304 (1548233367).bmp,blur,,,asm2,1332834.4,0,,1332834.4,782924627.299805,fixed,304,304,1548233367
171,,fixed 144x144 (1125898167).bmp,blur,,,asm2,1696044.8,0,,1696044.8,9403335004708.7,fixed,144,144,1125898167
172,,random2 200x200 (582362178).bmp,blur,,,asm2,1035784,0,,1035784,1078133622973,random2,200,200,582362178
173,,fixed 300x300 (1998898814).bmp,blur,,,asm2,1333506,0,,1333506,7618925167,fixed,300,300,1998898814
174,,random2 200x200 (105197541).bmp,blur,,,asm2,578166.6,0,,578166.6,162346385.299988,random2,200,200,105197541
175,,random2 200x200 (2116845032).bmp,blur,,,asm2,3447790.6,0,,3447790.6,41494187745206.3,random2,200,200,2116845032
176,,fixed 292x292 (939819582).bmp,blur,,,asm2,2171134.8,0,,2171134.8,4064050618434.2,fixed,292,292,939819582
177,,fixed 4x4 (1804289383).bmp,blur,,,asm2,3163,0,,3163,115983.5,fixed,4,4,1804289383
178,,random1 200x200 (1947346619).bmp,blur,,,asm2,614922.4,0,,614922.4,3471227655.29999,random1,200,200,1947346619
179,,random1 200x200 (1057467587).bmp,blur,,,asm2,571237.2,0,,571237.2,4154501.20001221,random1,200,200,1057467587
180,,fixed 192x192 (1973594324).bmp,blur,,,asm2,524951.8,0,,524951.8,6635198.20001221,fixed,192,192,1973594324
181,,fixed 376x376 (1843993368).bmp,blur,,,asm2,2052091.6,0,,2052091.6,2657501711.7998,fixed,376,376,1843993368
182,,fixed 372x372 (1411549676).bmp,blur,,,asm2,1978866.6,0,,1978866.6,234039866.299805,fixed,372,372,1411549676
183,,random1 200x200 (446340713).bmp,blur,,,asm2,562033.2,0,,562033.2,108422835.700012,random1,200,200,446340713
184,,fixed 112x112 (233665123).bmp,blur,,,asm2,180209.6,0,,180209.6,847757.300003052,fixed,112,112,233665123
185,,random1 200x200 (1973387981).bmp,blur,,,asm2,571926.2,0,,571926.2,4505625.70001221,random1,200,200,1973387981
186,,fixed 196x196 (149798315).bmp,blur,,,asm2,559242.2,0,,559242.2,584587937.200012,fixed,196,196,149798315
187,,fixed 344x344 (709393584).bmp,blur,,,asm2,2631292,0,,2631292,4375896061100.5,fixed,344,344,709393584
188,,random1 200x200 (1827336327).bmp,blur,,,asm2,572131.6,0,,572131.6,18944716.2999878,random1,200,200,1827336327
189,,random1 200x200 (1656478042).bmp,blur,,,asm2,567298,0,,567298,83847006.5,random1,200,200,1656478042
190,,fixed 332x332 (945117276).bmp,blur,,,asm2,2470999.8,0,,2470999.8,3909286208708.7,fixed,332,332,945117276
191,,fixed 396x396 (1469348094).bmp,blur,,,asm2,2270146.2,0,,2270146.2,2186852800.7002,fixed,396,396,1469348094
192,,random2 200x200 (392228696).bmp,blur,,,asm2,624386.2,0,,624386.2,11484029969.7,random2,200,200,392228696
193,,fixed 40x40 (1189641421).bmp,blur,,,asm2,2293043.4,0,,2293043.4,25739143518684.8,fixed,40,40,1189641421
194,,random1 200x200 (968338082).bmp,blur,,,asm2,571119.2,0,,571119.2,2612838.20001221,random1,200,200,968338082
195,,fixed 160x160 (1656478042).bmp,blur,,,asm2,369623.4,0,,369623.4,177477434.299988,fixed,160,160,1656478042
196,,random1 200x200 (588219756).bmp,blur,,,asm2,575170.6,0,,575170.6,183873791.799988,random1,200,200,588219756
197,,random1 200x200 (680466996).bmp,blur,,,asm2,575794.2,0,,575794.2,176139733.200012,random1,200,200,680466996
198,,random1 200x200 (1572276965).bmp,blur,,,asm2,564066.6,0,,564066.6,145349397.799988,random1,200,200,1572276965
199,,fixed 360x360 (1474612399).bmp,blur,,,asm2,1903544.4,0,,1903544.4,9973613582.29981,fixed,360,360,1474612399
200,,random1 200x200 (1918502651).bmp,blur,,,asm2,571347.6,0,,571347.6,5369336.79998779,random1,200,200,1918502651
201,,random2 200x200 (223729824).bmp,blur,,,asm2,581292.6,0,,581292.6,580090786.299988,random2,200,200,223729824
202,,fixed 336x336 (1889947178).bmp,blur,,,asm2,1647631.6,0,,1647631.6,17752061237.2998,fixed,336,336,1889947178
203,,random1 200x200 (1914544919).bmp,blur,,,asm2,569461.8,0,,569461.8,1655736.70001221,random1,200,200,1914544919
204,,random2 200x200 (827462710).bmp,blur,,,asm2,574335.6,0,,574335.6,84815475.2999878,random2,200,200,827462710
205,,random2 200x200 (314227535).bmp,blur,,,asm2,575339.2,0,,575339.2,19355841.2000122,random2,200,200,314227535
206,,random2 200x200 (861264076).bmp,blur,,,asm2,579247.2,0,,579247.2,212173452.700012,random2,200,200,861264076
207,,fixed 384x384 (1984210012).bmp,blur,,,asm2,4934608.8,0,,4934608.8,33238042802038.7,fixed,384,384,1984210012
208,,fixed 252x252 (1937477084).bmp,blur,,,asm2,914158.8,0,,914158.8,435762437.199951,fixed,252,252,1937477084
209,,random2 200x200 (1624213497).bmp,blur,,,asm2,572622.6,0,,572622.6,7836972.79998779,random2,200,200,1624213497
210,,random1 200x200 (660260756).bmp,blur,,,asm2,2710322.4,0,,2710322.4,22846631571840.8,random1,200,200,660260756
211,,fixed 212x212 (412776091).bmp,blur,,,asm2,640140.2,0,,640140.2,819147.700012207,fixed,212,212,412776091
212,,random2 200x200 (826030693).bmp,blur,,,asm2,571585.6,0,,571585.6,4765307.29998779,random2,200,200,826030693
213,,random2 200x200 (37805787).bmp,blur,,,asm2,571339.8,0,,571339.8,6559250.20001221,random2,200,200,37805787
214,,random2 200x200 (1278717062).bmp,blur,,,asm2,579305.2,0,,579305.2,274506811.200012,random2,200,200,1278717062
215,,random2 200x200 (1804532640).bmp,blur,,,asm2,592169,0,,592169,2199079320,random2,200,200,1804532640
216,,random1 200x200 (719346228).bmp,blur,,,asm2,5386562.8,0,,5386562.8,115968297748697,random1,200,200,719346228
217,,random1 200x200 (1369321801).bmp,blur,,,asm2,573959.4,0,,573959.4,64499267.2999878,random1,200,200,1369321801
218,,fixed 276x276 (1100661313).bmp,blur,,,asm2,1104154.4,0,,1104154.4,638900052.300049,fixed,276,276,1100661313
219,,random1 200x200 (6939507).bmp,blur,,,asm2,569852,0,,569852,1908122,random1,200,200,6939507
220,,random1 200x200 (774044599).bmp,blur,,,asm2,1817354,0,,1817354,7829390435504,random1,200,200,774044599
221,,random1 200x200 (135497281).bmp,blur,,,asm2,577707.6,0,,577707.6,531333852.299988,random1,200,200,135497281
222,,fixed 340x340 (1780695788).bmp,blur,,,asm2,1669914.2,0,,1669914.2,581647702.200195,fixed,340,340,1780695788
223,,random2 200x200 (1272590008).bmp,blur,,,asm2,634911.4,0,,634911.4,15700447154.3,random2,200,200,1272590008
224,,fixed 76x76 (304089172).bmp,blur,,,asm2,83307.6,0,,83307.6,1340399.29999924,fixed,76,76,304089172
225,,random2 200x200 (111632295).bmp,blur,,,asm2,570401,0,,570401,3245424.5,random2,200,200,111632295
