,alpha,delta,filename,filter,h,l,language,optimization,s,experiment,width,height
209,,573809,random2 200x200 (1624213497).bmp,blur,,,asm2,3,,random2,200,200
210,,569047,random1 200x200 (660260756).bmp,blur,,,asm2,3,,random1,200,200
211,,664137,fixed 212x212 (412776091).bmp,blur,,,asm2,3,,fixed,212,212
212,,574145,random2 200x200 (826030693).bmp,blur,,,asm2,3,,random2,200,200
213,,574404,random2 200x200 (37805787).bmp,blur,,,asm2,3,,random2,200,200
214,,931883,random2 200x200 (1278717062).bmp,blur,,,asm2,3,,random2,200,200
215,,570900,random2 200x200 (1804532640).bmp,blur,,,asm2,3,,random2,200,200
216,,574063,random1 200x200 (719346228).bmp,blur,,,asm2,3,,random1,200,200
217,,568134,random1 200x200 (1369321801).bmp,blur,,,asm2,3,,random1,200,200
218,,1086642,fixed 276x276 (1100661313).bmp,blur,,,asm2,3,,fixed,276,276
219,,595315,random1 200x200 (6939507).bmp,blur,,,asm2,3,,random1,200,200
220,,2532980,random1 200x200 (774044599).bmp,blur,,,asm2,3,,random1,200,200
221,,581593,random1 200x200 (135497281).bmp,blur,,,asm2,3,,random1,200,200
222,,1675147,fixed 340x340 (1780695788).bmp,blur,,,asm2,3,,fixed,340,340
223,,571050,random2 200x200 (1272590008).bmp,blur,,,asm2,3,,random2,200,200
224,,86063,fixed 76x76 (304089172).bmp,blur,,,asm2,3,,fixed,76,76
225,,589484,random2 200x200 (111632295).bmp,blur,,,asm2,3,,random2,200,200
226,,569334,random2 200x200 (1110322077).bmp,blur,,,asm2,3,,random2,200,200
227,,574933,random2 200x200 (1904825301).bmp,blur,,,asm2,3,,random2,200,200
228,,588211,random1 200x200 (476667372).bmp,blur,,,asm2,3,,random1,200,200
229,,75012,fixed 72x72 (1540383426).bmp,blur,,,asm2,3,,fixed,72,72
230,,738087,random2 200x200 (1491826219).bmp,blur,,,asm2,3,,random2,200,200
231,,850347,fixed 240x240 (135497281).bmp,blur,,,asm2,3,,fixed,240,240
232,,670681,fixed 216x216 (1424268980).bmp,blur,,,asm2,3,,fixed,216,216
233,,569072,random2 200x200 (149362799).bmp,blur,,,asm2,3,,random2,200,200
234,,628223,fixed 208x208 (184803526).bmp,blur,,,asm2,3,,fixed,208,208
235,,22312295,random2 200x200 (210173080).bmp,blur,,,asm2,3,,random2,200,200
236,,575402,random1 200x200 (434248626).bmp,blur,,,asm2,3,,random1,200,200
237,,13794580,fixed 348x348 (491705403).bmp,blur,,,asm2,3,,fixed,348,348
238,,607394,random1 200x200 (1884661237).bmp,blur,,,asm2,3,,random1,200,200
239,,573956,random2 200x200 (1641401680).bmp,blur,,,asm2,3,,random2,200,200
240,,731023,fixed 224x224 (749241873).bmp,blur,,,asm2,3,,fixed,224,224
241,,193650,fixed 116x116 (2145174067).bmp,blur,,,asm2,3,,fixed,116,116
242,,572854,random2 200x200 (1483653965).bmp,blur,,,asm2,3,,random2,200,200
243,,577381,random2 200x200 (678517663).bmp,blur,,,asm2,3,,random2,200,200
244,,578761,random2 200x200 (267243337).bmp,blur,,,asm2,3,,random2,200,200
245,,223331,fixed 124x124 (1101513929).bmp,blur,,,asm2,3,,fixed,124,124
246,,587134,random2 200x200 (2025457891).bmp,blur,,,asm2,3,,random2,200,200
247,,591487,random1 200x200 (114723506).bmp,blur,,,asm2,3,,random1,200,200
248,,570311,random2 200x200 (1993704154).bmp,blur,,,asm2,3,,random2,200,200
249,,284969,fixed 140x140 (1369133069).bmp,blur,,,asm2,3,,fixed,140,140
250,,568031,random2 200x200 (889485400).bmp,blur,,,asm2,3,,random2,200,200
251,,590620,fixed 200x200 (2038664370).bmp,blur,,,asm2,3,,fixed,200,200
252,,572860,random2 200x200 (500913976).bmp,blur,,,asm2,3,,random2,200,200
253,,618729,random2 200x200 (2101086718).bmp,blur,,,asm2,3,,random2,200,200
254,,420934,fixed 172x172 (859484421).bmp,blur,,,asm2,3,,fixed,172,172
255,,579799,random1 200x200 (243268139).bmp,blur,,,asm2,3,,random1,200,200
256,,574048,random2 200x200 (326834681).bmp,blur,,,asm2,3,,random2,200,200
257,,573730,random1 200x200 (1782436840).bmp,blur,,,asm2,3,,random1,200,200
258,,570912,random2 200x200 (1523873429).bmp,blur,,,asm2,3,,random2,200,200
259,,571340,random2 200x200 (1240563377).bmp,blur,,,asm2,3,,random2,200,200
260,,572054,random2 200x200 (408079536).bmp,blur,,,asm2,3,,random2,200,200
261,,582409,random1 200x200 (1469262009).bmp,blur,,,asm2,3,,random1,200,200
262,,574453,random2 200x200 (355197215).bmp,blur,,,asm2,3,,random2,200,200
263,,581877,random2 200x200 (1115532105).bmp,blur,,,asm2,3,,random2,200,200
264,,790145,random2 200x200 (163025128).bmp,blur,,,asm2,3,,random2,200,200
265,,471479,fixed 180x180 (608413784).bmp,blur,,,asm2,3,,fixed,180,180
266,,134618,fixed 96x96 (1726956429).bmp,blur,,,asm2,3,,fixed,96,96
267,,574780,random2 200x200 (673967233).bmp,blur,,,asm2,3,,random2,200,200
268,,578791,random2 200x200 (1804275551).bmp,blur,,,asm2,3,,random2,200,200
269,,2210539,fixed 388x388 (855636226).bmp,blur,,,asm2,3,,fixed,388,388
270,,52599,fixed 60x60 (2044897763).bmp,blur,,,asm2,3,,fixed,60,60
271,,589995,random1 200x200 (1662981776).bmp,blur,,,asm2,3,,random1,200,200
272,,574050,random1 200x200 (1632621729).bmp,blur,,,asm2,3,,random1,200,200
273,,584121,random2 200x200 (366978141).bmp,blur,,,asm2,3,,random2,200,200
274,,591483,random2 200x200 (155591899).bmp,blur,,,asm2,3,,random2,200,200
275,,853485,fixed 244x244 (511702305).bmp,blur,,,asm2,3,,fixed,244,244
276,,576709,random1 200x200 (201690613).bmp,blur,,,asm2,3,,random1,200,200
277,,1055420,fixed 268x268 (805750846).bmp,blur,,,asm2,3,,fixed,268,268
278,,265591,fixed 136x136 (635723058).bmp,blur,,,asm2,3,,fixed,136,136
279,,592046,random1 200x200 (971899228).bmp,blur,,,asm2,3,,random1,200,200
280,,568827,random1 200x200 (846942590).bmp,blur,,,asm2,3,,random1,200,200
281,,572741,random2 200x200 (1711667133).bmp,blur,,,asm2,3,,random2,200,200
282,,593525,random1 200x200 (1548233367).bmp,blur,,,asm2,3,,random1,200,200
283,,948938,random1 200x200 (593209441).bmp,blur,,,asm2,3,,random1,200,200
284,,655104,random1 200x200 (1335939811).bmp,blur,,,asm2,3,,random1,200,200
285,,586921,random2 200x200 (75172477).bmp,blur,,,asm2,3,,random2,200,200
